OBJECTID,formal_name,centroid_x,centroid_y,street_address,lattitude,longitude,SHAPE_Length,SHAPE_Area
335,A. Ray Olpin Union,428595.39100595,4513010.0024318,200 S Central Campus Dr,40.7649585,-111.8460258,572.9335815231346,6441.254948577717
336,Carolyn Tanner Irish Humanities Building,428852.1919039,4512963.17181978,215 S Central Campus Dr,40.764559,-111.8429781,257.4921975181257,1752.6031744465854
339,Student Services Cooling Tower,428392.91031728,4513051.70825932,,40.7653175,-111.8484318,30.98048633843604,48.07671203065358
340,Student Services Building,428423.19320886,4513017.37206801,201 S 1460 E,40.7650099,-111.8480666,267.526603437005,2807.7278141600905
341,James C. Fletcher Building,428223.21220741,4513209.42216298,115 S 1400 E,40.7667215,-111.8504586,269.2119667816535,2128.6128164406678
342,Physics Maintenance Shed,428282.26774046,4513163.44185241,,40.7663155,-111.8497409,21.303319664417412,28.26444200527176
343,Voice & Opera Center,428105.28115818,4513224.50159319,104 S 1386 E,40.7668481,-111.8518531,74.56947160950055,328.2679355804828
344,Frederick Albert Sutton Building,428448.01185902,4513201.10607074,115 S 1460 E,40.7666686,-111.8477967,246.8893572391586,2383.9379705361307
345,William C. Browning Building,428454.08465624,4513153.95021834,135 S 1460 E,40.7662422,-111.8477118,151.6696519249516,1131.6787749318464
346,SW Cooling Tower,,,375 S 1400 E,40.7611313,-111.8480044,57.26542188190771,183.9540635037197
349,John A. Widtsoe Building,428248.60613095,4513119.01752254,155 S 1400 E,40.7659103,-111.8501467,161.06150462957098,1208.6429393931437
351,J. Willard Marriott Library,428577.92820893,4512732.40687772,295 S 1500 E,40.7624564,-111.8462009,475.1449060705155,8311.065597548739
352,Film and Media Arts Building,428644.25986123,4512603.09309596,370 S 1530 E,40.7612975,-111.8454004,174.7879355774918,1637.2904849618617
353,Business Classroom Building,428750.68257336,4512654.7949774,1635 E Campus Center Dr,40.7617724,-111.8441455,143.0733039643034,948.6482355644998
354,Pumphouse #8,429159.98163224,4513049.87952357,1805 E Student Life Way,40.76537,-111.8393343,29.03065289502293,43.73077163112991
358,Donna Garff Marriott Residential Scholars Community,429367.94227077,4512876.94581348,250 S. Mario Capecchi Dr,40.7638268,-111.8368582,454.3419261208509,2939.528294276128
359,Cleone Peterson Eccles Alumni House,428798.54448295,4513118.47050166,155 S Central Campus Dr,40.7658899,-111.8436309,214.5054830521904,1615.723288317697
362,Rosenblatt House,428674.18767023,4513733.91332038,1480 E Military Way,40.7714816,-111.845167,245.53153343423287,691.2909058115977
366,Carolyn and Kem Gardner Commons,428709.188399,4512831.44089007,260 S Central Campus Dr,40.7633607,-111.8446581,421.4262979229197,4693.393932761725
375,HPER Mechanical Building Southeast,429166.19623575,4512779.20987599,298 S 1850 E,40.7629181,-111.8392586,73.52749335773895,271.7852191955299
376,Jon M. and Karen Huntsman Basketball Facility,429208.82574693,4512797.81451288,294 S 1850 E,40.7630993,-111.8387277,210.48551063138325,2324.8544405334105
379,Northwest Garage,428368.58161091,4513185.63049819,105 S 1510 E,40.7665208,-111.8487329,235.28236839220932,2746.2928727578983
380,Sterling Sill Center,428792.99333446,4513050.01202835,195 S Central Campus Dr,40.7653351,-111.8436888,207.21148389540105,1148.8070637819212
381,University Campus Store,428467.62671083,4512872.82121842,270 S 1500 E,40.7637118,-111.8475237,265.44899855792687,2993.500216052998
382,Physics Cooling Tower,428270.76522494,4513187.78059397,,40.7665293,-111.8498995,47.07587778887235,129.58720495223434
383,SW Cooling Tower,,,375 S 1400 E,40.7612905,-111.8480052,63.58047825478525,214.86801193603935
384,Physics Building,428256.36171375,4513172.48998529,125 S 1400 E,40.7663942,-111.8500583,105.53054010697235,642.86230268643
390,Meldrum House,,,200 S 1300 E,40.76497163059208,-111.85335549126603,108.8299027555895,499.6177706077139
396,Building 72,428137.75065577,4512689.33374254,332 S 1400 E,40.7620302,-111.8514106,245.00830647417249,2260.1290360594685
397,John & Marcia Price Theatre Arts Building,428101.57587236,4512690.06654157,332 S 1400 E,40.7620336,-111.8518393,248.32585193299536,3119.1626068210635
399,Rio Tinto Kennecott Mechanical Engineering Building,428451.40082092,4513290.73463144,1495 E 100 S,40.7674748,-111.8477638,317.7191645605847,3036.631965104013
402,Lassonde Studios,428973.5125242,4512960.40402714,1701 E Student Life Way,40.7645445,-111.8415405,320.85129082904405,3304.254544187715
404,Rice-Eccles Stadium,428347.02200295,4512468.79038337,451 S 1400 E,40.7600622,-111.8489259,1277.789140453688,29743.643451643668
405,Robert H. and Katharine B. Garff Executive Education Building,,,1731 E Campus Center Dr,40.7621344,-111.8422519,282.39341703177644,3506.784796824061
409,Dolores Dore Eccles Broadcast Center,429287.10259545,4513265.10733331,101 S Wasatch Dr,40.7673162,-111.8378598,378.481876504344,4509.193020717565
410,Kahlert Village,,,265 S 1850 E,40.7637771,-111.837987,1014.335374035498,10706.60128130195
411,Dumke Gymnastics Center,429134.72692233,4512936.77024571,230 S 1850 E,40.7643456,-111.8396279,174.7788822677019,1567.1510998017422
